DOY,CANOPY HEIGHT
91,0.01
92,0.011333333
93,0.012666667
94,0.014
95,0.015333333
96,0.016666667
97,0.018
98,0.019333333
99,0.020666667
100,0.022
101,0.023333333
102,0.024666667
103,0.026
104,0.027333333
105,0.028666667
106,0.03
107,0.031333333
108,0.032666667
109,0.034
110,0.035333333
111,0.036666667
112,0.038
113,0.039333333
114,0.040666667
115,0.042
116,0.043333333
117,0.044666667
118,0.046
119,0.047333333
120,0.048666667
121,0.05
122,0.065
123,0.08
124,0.095
125,0.11
126,0.125
127,0.14
128,0.155
129,0.17
130,0.185
131,0.2
132,0.215
133,0.23
134,0.245
135,0.26
136,0.275
137,0.29
138,0.305
139,0.32
140,0.335
141,0.35
142,0.365
143,0.38
144,0.395
145,0.41
146,0.425
147,0.44
148,0.455
149,0.47
150,0.485
151,0.5
152,0.05
153,0.066176471
154,0.082352941
155,0.098529412
156,0.114705882
157,0.130882353
158,0.147058824
159,0.163235294
160,0.179411765
161,0.195588235
162,0.211764706
163,0.227941176
164,0.244117647
165,0.260294118
166,0.276470588
167,0.292647059
168,0.308823529
169,0.325
170,0.341176471
171,0.357352941
172,0.373529412
173,0.389705882
174,0.405882353
175,0.422058824
176,0.438235294
177,0.454411765
178,0.470588235
179,0.486764706
180,0.502941176
181,0.519117647
182,0.535294118
183,0.551470588
184,0.567647059
185,0.583823529
186,0.6
187,0.05
188,0.058333333
189,0.066666667
190,0.075
191,0.083333333
192,0.091666667
193,0.1
194,0.108333333
195,0.116666667
196,0.125
197,0.133333333
198,0.141666667
199,0.15
200,0.158333333
201,0.166666667
202,0.175
203,0.183333333
204,0.191666667
205,0.2
206,0.208333333
207,0.216666667
208,0.225
209,0.233333333
210,0.241666667
211,0.25
212,0.258333333
213,0.266666667
214,0.275
215,0.283333333
216,0.291666667
217,0.3
218,0.308333333
219,0.316666667
220,0.325
221,0.333333333
222,0.341666667
223,0.35
224,0.358333333
225,0.366666667
226,0.375
227,0.383333333
228,0.391666667
229,0.4
230,0.408333333
231,0.416666667
232,0.425
233,0.433333333
234,0.441666667
235,0.45
236,0.458333333
237,0.466666667
238,0.475
239,0.483333333
240,0.491666667
241,0.5
242,0.05
243,0.054166667
244,0.058333333
245,0.0625
246,0.066666667
247,0.070833333
248,0.075
249,0.079166667
250,0.083333333
251,0.0875
252,0.091666667
253,0.095833333
254,0.1
255,0.102
256,0.104
257,0.106
258,0.108
259,0.11
260,0.112
261,0.114
262,0.116
263,0.118
264,0.12
265,0.122
266,0.124
267,0.126
268,0.128
269,0.13
270,0.132
271,0.134
272,0.136
273,0.138
274,0.14
275,0.142
276,0.144
277,0.146
278,0.148
279,0.15
280,0.152
281,0.154
282,0.156
283,0.158
284,0.16
285,0.162
286,0.164
287,0.166
288,0.168
289,0.17
290,0.172
291,0.174
292,0.176
293,0.178
294,0.18
295,0.182
296,0.184
297,0.186
298,0.188
299,0.19
300,0.192
301,0.194
302,0.196
303,0.198
304,0.2
