YEAR  DOY hrmin   Ta     Td      D     stdTa    Dir     V    ustar    z/L      H     LE      FluxAvg      FluxStd      FluxVar    FluxSkew    FluxKurt   Records
2018  91   100   10.1   -4.0   785.1   1.283   211.8   1.4   0.08    2.362   -24.8    9.0   0.390E-05    0.311E-04    0.965E-09    1.7722      19.1078    72000
2018  91   200   11.6   -3.7   896.6   0.678   259.1   4.9   0.30    0.104   -59.6   19.8   0.869E-05    0.559E-04    0.313E-08    1.0689       7.3565    72000
2018  91   300   10.1   -2.2   713.3   0.708   264.6   3.3   0.29    0.082   -44.2    7.4   0.316E-05    0.255E-04    0.649E-09    1.6839      17.4055    72000
2018  91   400    8.2   -2.8   590.8   1.355   318.0   2.1   0.12    0.181    -6.4    4.3   0.179E-05    0.257E-04    0.658E-09    0.0741       6.7187    72000
2018  91   500    6.2   -3.6   476.4   0.969   302.1   2.4   0.10    0.698   -13.1    2.7   0.125E-05    0.116E-04    0.135E-09    0.4024      12.8159    72000
2018  91   600    5.1   -3.8   419.1   0.807   317.0   2.7   0.13    0.236   -11.5    1.8   0.847E-06    0.516E-05    0.267E-10    2.2782      16.1439    72000
2018  91   700    4.9   -3.8   408.9   0.399   317.1   3.1   0.15    0.079    -5.6    7.1   0.289E-05    0.964E-05    0.930E-10    4.0392      35.5747    72000
2018  91   800    7.4   -2.7   529.1   0.984   296.0   1.1   0.13   -0.575    29.5   25.0   0.957E-05    0.271E-04    0.735E-09    2.9723      18.9685    72000
2018  91   900    9.9   -1.5   671.1   0.680    93.8   1.2   0.13   -1.418    61.4   49.5   0.188E-04    0.416E-04    0.173E-08    4.0629      40.8600    72000
2018  91  1000   11.4   -1.7   806.9   0.689    86.2   0.9   0.11   -2.911    87.8   69.6   0.265E-04    0.592E-04    0.350E-08    2.8328      15.4288    72000
2018  91  1100   13.0   -3.1  1009.6   1.061   195.8   1.2   0.26   -0.414   163.0  104.0   0.396E-04    0.121E-03    0.147E-07    2.4173      18.7769    72000
2018  91  1200   15.1   -5.3  1307.0   1.007   241.8   4.4   0.22   -0.807   194.1  115.1   0.444E-04    0.126E-03    0.160E-07    2.0003       8.7455    72000
2018  91  1300   16.3   -7.6  1506.9   1.021   236.0   7.3   0.43   -0.135   235.6  124.3   0.482E-04    0.132E-03    0.173E-07    2.8469      30.7523    72000
2018  91  1400   17.3   -9.0  1660.8   0.958   236.2   7.6   0.45   -0.109   223.8  125.6   0.489E-04    0.141E-03    0.198E-07    2.0726      13.5590    72000
