DOY   hrmin     Vbar    SDVn
 91    100      2.12    0.97
 91    200      5.01    0.54
 91    300      3.99    0.95
 91    400      2.23    0.53
 91    500      2.52    0.40
 91    600      2.86    0.48
 91    700      3.15    0.36
 91    800      1.55    0.36
 91    900      1.43    0.53
 91   1000      1.50    0.67
 91   1100      2.07    0.69
 91   1200      5.08    1.42
 91   1300      7.75    1.48
 91   1400      8.04    1.56
 91   1500      8.66    1.45
 91   1600      8.09    1.51
 91   1700      7.88    0.99
 91   1800      7.04    1.01
 91   1900      6.25    0.76
 91   2000      6.29    0.70
 91   2100      3.90    0.47
 91   2200      1.17    0.34
 91   2300      2.08    0.22
 91   2400      1.41    0.70
 92    100      1.63    0.52
 92    200      2.86    0.30
 92    300      2.41    0.38
 92    400      1.86    0.41
 92    500      1.52    0.39
 92    600      1.56    0.23
 92    700      1.97    0.37
 92    800      1.58    0.17
 92    900      1.17    0.59
 92   1000      3.01    1.74
 92   1100      7.72    1.16
 92   1200     13.03    1.81
 92   1300     14.03    2.05
 92   1400     12.21    1.96
 92   1500     11.51    1.87
 92   1600     10.99    1.68
 92   1700     11.52    1.64
 92   1800     10.93    1.58
 92   1900      8.48    1.13
 92   2000      8.97    1.07
 92   2100      7.52    1.76
 92   2200      3.20    1.04
 92   2300      2.59    0.91
 92   2400      4.59    0.72
 93    100      6.45    0.82
 93    200      6.47    0.81
 93    300      3.41    0.52
 93    400      1.62    0.43
 93    500      3.01    0.71
 93    600      1.76    0.35
 93    700      1.17    0.49
 93    800      3.71    0.88
 93    900      5.76    1.23
 93   1000      4.52    0.91
 93   1100      3.89    0.96
 93   1200      3.18    0.94
 93   1300      3.72    0.94
 93   1400      3.56    0.97
 93   1500      3.19    1.01
 93   1600      3.28    0.91
 93   1700      2.97    0.61
 93   1800      2.22    0.43
 93   1900      1.01    0.25
 93   2000      1.90    0.28
 93   2100      2.73    0.29
 93   2200      1.88    0.29
 93   2300      1.39    0.21
 93   2400      2.19    0.19
 94    100      2.43    0.36
 94    200      2.29    0.22
 94    300      2.04    0.52
 94    400      2.35    0.34
 94    500      1.73    0.20
 94    600      2.13    0.52
 94    700      2.19    0.37
 94    800      1.64    0.20
 94    900      0.88    0.33
 94   1000      1.07    0.36
 94   1100      1.35    0.41
 94   1200      1.49    0.46
 94   1300      1.40    0.50
 94   1400      1.71    0.57
 94   1500      1.90    0.45
 94   1600      2.10    0.50
 94   1700      1.92    0.32
 94   1800      1.92    0.32
 94   1900      1.36    0.50
 94   2000      1.80    0.28
 94   2100      2.66    0.31
 94   2200      2.05    0.46
 94   2300      2.15    0.58
 94   2400      2.32    0.38
 95    100      3.03    0.28
 95    200      3.99    0.27
 95    300      3.99    0.31
 95    400      3.65    0.28
 95    500      2.16    0.32
 95    600      1.65    0.37
 95    700      2.56    0.42
 95    800      0.76    0.29
 95    900      1.12    0.30
 95   1000      1.92    0.59
 95   1100      3.07    0.63
 95   1200      2.11    0.64
 95   1300      2.06    0.66
 95   1400      4.82    1.34
 95   1500      3.47    1.16
 95   1600      2.60    0.50
 95   1700      2.74    0.37
 95   2000      1.59    0.27
 95   2100      2.18    0.28
 95   2200      1.64    0.58
 95   2300      2.87    0.98
 95   2400      2.68    0.36
 96    100      1.66    0.50
 96    200      1.73    0.60
 96    300      1.16    0.48
 96    400      1.43    0.33
 96    500      2.62    0.49
 96    600      1.90    0.17
 96    700      2.36    0.38
 96    800      1.72    0.38
 96    900      1.32    0.50
 96   1000      2.93    0.38
 96   1100      2.94    0.47
 96   1200      1.36    0.45
 96   1300      2.38    0.81
 96   1700      3.12    0.65
 96   1800      2.37    0.37
 96   1900      0.93    0.46
 96   2000      0.57    0.30
 96   2100      0.99    0.27
 96   2200      2.20    0.33
 96   2300      1.35    0.28
 96   2400      2.50    0.21
