yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir,h_canopy,h_Measurement,z_Aerodynamic_Height
2019,7,2,0,0,1.6,0.3558702,0.01535134,3.997896,213.0273,0.5992502,0.3467875,19.75525,0.1,1.6,1.2441298
2019,7,2,0,30,1.6,0.3558702,0.01622261,3.658556,191.146,0.5837038,0.3209585,25.16525,0.1,1.6,1.2441298
2019,7,2,1,0,1.6,0.3558702,0.01507786,4.09829,201.4329,0.645444,0.3540505,28.53543,0.1,1.6,1.2441298
2019,7,2,1,30,1.6,0.3558702,0.01507786,2.932211,106.9871,0.6717921,0.2676744,27.74997,0.1,1.6,1.2441298
2019,7,2,2,0,1.6,0.3558702,0.01507786,1.71163,25.08041,0.373173,0.1488925,18.5289,0.1,1.6,1.2441298
2019,7,2,2,30,1.6,0.3558702,0.01507786,1.176038,10.28676,0.2434764,0.1002637,5.894104,0.1,1.6,1.2441298
2019,7,2,3,0,1.6,0.3558702,0.01507786,2.261453,39.02439,0.4626227,0.1998408,26.83481,0.1,1.6,1.2441298
2019,7,2,3,30,1.6,0.3558702,0.01507786,2.707505,68.52576,0.5890655,0.2295383,34.69873,0.1,1.6,1.2441298
2019,7,2,4,0,1.6,0.3558702,0.01507786,1.502913,13.82883,0.5405438,0.1228141,48.61862,0.1,1.6,1.2441298
2019,7,2,4,30,1.6,0.3558702,0.01507786,0.9347438,7.776579,0.4168603,0.1034085,96.55859,0.1,1.6,1.2441298
2019,7,2,5,0,1.6,0.3558702,0.01507786,0.4952074,9.092025,0.2992065,0.07100061,104.2259,0.1,1.6,1.2441298
2019,7,2,5,30,1.6,0.3558702,0.01507786,0.7134338,-61.51609,0.2844253,0.08273862,77.58026,0.1,1.6,1.2441298
2019,7,2,6,0,1.6,0.3558702,0.01507786,1.023702,-72.47317,0.6864131,0.1416183,21.64096,0.1,1.6,1.2441298
2019,7,2,6,30,1.6,0.3558702,0.01507786,0.7046649,-24.79455,0.2972122,0.1034552,348.7168,0.1,1.6,1.2441298
2019,7,2,7,0,1.6,0.3558702,0.01507786,0.6155356,-7.410974,0.218258,0.09289946,348.8947,0.1,1.6,1.2441298
2019,7,2,7,30,1.6,0.3558702,0.01507786,1.111262,-2.912127,0.4746523,0.0836227,340.1678,0.1,1.6,1.2441298
2019,7,2,8,0,1.6,0.3558702,0.01507786,0.8418805,-5.655363,0.4331227,0.1227807,354.353,0.1,1.6,1.2441298
2019,7,2,8,30,1.6,0.3558702,0.01507786,1.080073,-8.84034,0.5257444,0.168147,20.5936,0.1,1.6,1.2441298
2019,7,2,9,0,1.6,0.3558702,0.01507786,1.526976,-5.773765,0.7198171,0.1779718,14.42963,0.1,1.6,1.2441298
2019,7,2,9,30,1.6,0.3558702,0.01507786,2.366641,-13.05626,0.9837174,0.2543048,44.10822,0.1,1.6,1.2441298
2019,7,2,10,0,1.6,0.3558702,0.01507786,3.946438,-20.77846,1.012752,0.3340422,52.95551,0.1,1.6,1.2441298
2019,7,2,10,30,1.6,0.3558702,0.01507786,4.39703,-26.08429,1.005729,0.3925862,47.11444,0.1,1.6,1.2441298
2019,7,2,11,0,1.6,0.3558702,0.01507786,5.374269,-38.00318,1.157431,0.4498746,42.56107,0.1,1.6,1.2441298
2019,7,2,11,30,1.6,0.3558702,0.01507786,6.45309,-51.6065,1.272766,0.5317622,51.37366,0.1,1.6,1.2441298
2019,7,2,12,0,1.6,0.3558702,0.01507786,7.107564,-62.93038,1.397372,0.5816313,58.95245,0.1,1.6,1.2441298
2019,7,2,12,30,1.6,0.3558702,0.01507786,7.535496,-73.82111,1.502412,0.6301245,54.5434,0.1,1.6,1.2441298
2019,7,2,13,0,1.6,0.3558702,0.01348403,8.224331,-88.4468,1.667418,0.6885304,51.09491,0.1,1.6,1.2441298
2019,7,2,13,30,1.6,0.3558702,0.01184704,8.785995,-94.54813,1.700933,0.7191717,56.06958,0.1,1.6,1.2441298
2019,7,2,14,0,1.6,0.3558702,0.01099861,8.896035,-95.60005,1.720591,0.7156709,56.69519,0.1,1.6,1.2441298
2019,7,2,14,30,1.6,0.3558702,0.01271121,9.130832,-116.1981,1.625506,0.7588357,51.67749,0.1,1.6,1.2441298
2019,7,2,15,0,1.6,0.3558702,0.01420859,8.585769,-99.4716,1.609315,0.7296206,52.81644,0.1,1.6,1.2441298
2019,7,2,15,30,1.6,0.3558702,0.01008902,8.508971,-93.58434,1.722369,0.6739827,56.75955,0.1,1.6,1.2441298
2019,7,2,16,0,1.6,0.3558702,0.0111504,8.733732,-111.1219,1.738014,0.7061375,60.28952,0.1,1.6,1.2441298
2019,7,2,16,30,1.6,0.3558702,0.008089001,9.052506,-113.527,1.792756,0.6881571,65.82782,0.1,1.6,1.2441298
2019,7,2,17,0,1.6,0.3558702,0.009492688,8.954553,-131.5568,1.729524,0.7007269,62.40503,0.1,1.6,1.2441298
2019,7,2,17,30,1.6,0.3558702,0.009625951,9.661618,-180.8802,1.841653,0.7594611,66.79541,0.1,1.6,1.2441298
2019,7,2,18,0,1.6,0.3558702,0.00918145,9.755194,-232.388,1.90551,0.7611564,67.08145,0.1,1.6,1.2441298
2019,7,2,18,30,1.6,0.3558702,0.008294598,9.645404,-248.7689,1.904936,0.737209,65.5957,0.1,1.6,1.2441298
2019,7,2,19,0,1.6,0.3558702,0.01034462,8.87387,-307.4516,1.915785,0.7066967,70.78491,0.1,1.6,1.2441298
2019,7,2,19,30,1.6,0.3558702,0.00795362,9.208769,-410.1579,1.863732,0.6995515,69.07379,0.1,1.6,1.2441298
