date,Rainf,LWdown,SWdown,PotEvap,PSurf,Qair,Tair,Wind_E,Wind_N
2016-08-13 08:00:00,0.0,317.71,0.0,0.0366,101270,0.0065,291.83,3.26,0.36
2016-08-13 09:00:00,0.0,306.15,0.0,0.0366,101262,0.0066,290.53,3.05,0.64
2016-08-13 10:00:00,0.0,306.15,0.0,0.0126,101263,0.0066,289.95,2.59,0.65
2016-08-13 11:00:00,0.0,306.15,0.0,0.0126,101264,0.0066,289.37,2.13,0.66
2016-08-13 12:00:00,0.0,309.32,0.0,0.0126,101265,0.0066,288.79,1.67,0.68
2016-08-13 13:00:00,0.0,309.32,0.0,0.0663,101275,0.0067,290.08,1.47,0.58
2016-08-13 14:00:00,0.0,309.31,88.962,0.0663,101285,0.0067,291.38,1.27,0.49
2016-08-13 15:00:00,0.0,353.93,289.34,0.0663,101294,0.0067,292.68,1.07,0.4
2016-08-13 16:00:00,0.0,353.91,469.08,0.6486,101316,0.0067,296.61,1.33,0.34
2016-08-13 17:00:00,0.0,353.9,624.136,0.6486,101338,0.0066,300.54,1.59,0.28
2016-08-13 18:00:00,0.0,406.62,766.297,0.6486,101360,0.0065,304.47,1.85,0.21
2016-08-13 19:00:00,0.0,406.61,894.085,1.1752,101251,0.0064,307.25,1.82,-0.2
2016-08-13 20:00:00,0.0,406.6,971.96,1.1752,101143,0.0063,310.03,1.8,-0.62
2016-08-13 21:00:00,0.0,429.41,963.687,1.1752,101035,0.0061,312.81,1.77,-1.03
2016-08-13 22:00:00,0.0,429.41,880.297,1.1743,100985,0.006,313.59,2.36,-0.88
2016-08-13 23:00:00,0.0,429.41,735.927,1.1743,100933,0.0059,314.38,2.94,-0.72
2016-08-14 00:00:00,0.0,400.14,522.176,1.1743,100883,0.0058,315.16,3.53,-0.57
2016-08-14 01:00:00,0.0,400.14,340.488,0.5914,100844,0.0057,312.12,3.84,-0.58
2016-08-14 02:00:00,0.0,400.15,166.528,0.5914,100804,0.0056,309.07,4.15,-0.59
2016-08-14 03:00:00,0.0,342.56,0.0,0.5914,100764,0.0055,306.02,4.46,-0.6
2016-08-14 04:00:00,0.0,342.57,0.0,0.0988,100808,0.0056,302.93,4.22,-0.39
2016-08-14 05:00:00,0.0,342.58,0.0,0.0988,100852,0.0057,299.83,3.97,-0.18
2016-08-14 06:00:00,0.0,324.79,0.0,0.0988,100895,0.0058,296.73,3.72,0.03
2016-08-14 07:00:00,0.0,324.79,0.0,0.0514,100954,0.0058,295.38,3.45,0.28
2016-08-14 08:00:00,0.0,324.8,0.0,0.0514,101012,0.0058,294.02,3.17,0.53
2016-08-14 09:00:00,0.0,311.85,0.0,0.0514,101071,0.0059,292.67,2.9,0.79
2016-08-14 10:00:00,0.0,311.85,0.0,0.0236,101045,0.0059,291.78,2.55,0.89
2016-08-14 11:00:00,0.0,311.85,0.0,0.0236,101020,0.006,290.9,2.21,0.99
2016-08-14 12:00:00,0.0,317.15,0.0,0.0236,100994,0.006,290.01,1.86,1.09
2016-08-14 13:00:00,0.0,317.14,0.0,0.082,101045,0.006,291.45,1.67,0.81
2016-08-14 14:00:00,0.0,317.14,87.219,0.082,101096,0.0061,292.88,1.49,0.52
2016-08-14 15:00:00,0.0,360.19,286.64,0.082,101146,0.0061,294.31,1.3,0.24
2016-08-14 16:00:00,0.0,360.18,466.2,0.692,101134,0.0061,297.99,1.62,0.29
2016-08-14 17:00:00,0.0,360.16,621.091,0.692,101121,0.0061,301.68,1.93,0.35
2016-08-14 18:00:00,0.0,411.19,762.054,0.692,101109,0.0061,305.36,2.25,0.41
2016-08-14 19:00:00,0.0,411.18,889.339,1.2213,101028,0.006,307.94,2.62,0.17
2016-08-14 20:00:00,0.0,411.18,966.76,1.2213,100946,0.0058,310.51,2.99,-0.07
2016-08-14 21:00:00,0.0,430.91,957.363,1.2213,100864,0.0057,313.09,3.36,-0.3
2016-08-14 22:00:00,0.0,430.91,874.063,1.2228,100853,0.0058,313.56,3.86,-0.34
2016-08-14 23:00:00,0.0,430.91,730.065,1.2228,100842,0.0059,314.02,4.36,-0.39
