date,ETr,ETo,ea,sph,wind,pair,temp,rs
2016-08-13 08:00:00,0.0582,0.0414,1.062,0.0065,3.2798,101.27,18.68,0.0
2016-08-13 09:00:00,0.0459,0.0323,1.0681,0.0066,3.1164,101.262,17.38,0.0
2016-08-13 10:00:00,0.0351,0.0236,1.071,0.0066,2.6703,101.263,16.8,0.0
2016-08-13 11:00:00,0.0241,0.015,1.074,0.0066,2.2299,101.264,16.22,0.0
2016-08-13 12:00:00,0.0128,0.0065,1.0768,0.0066,1.8031,101.265,15.64,0.0
2016-08-13 13:00:00,0.0128,0.006,1.0822,0.0067,1.5803,101.275,16.93,0.0
2016-08-13 14:00:00,0.0443,0.0292,1.0875,0.0067,1.3612,101.285,18.23,88.962
2016-08-13 15:00:00,0.224,0.1846,1.0928,0.0067,1.1423,101.294,19.53,289.34
2016-08-13 16:00:00,0.3909,0.3268,1.0823,0.0067,1.3728,101.316,23.46,469.08
2016-08-13 17:00:00,0.5609,0.4694,1.0718,0.0066,1.6145,101.338,27.39,624.136
2016-08-13 18:00:00,0.7323,0.6113,1.0614,0.0065,1.8619,101.36,31.32,766.297
2016-08-13 19:00:00,0.8577,0.7227,1.0389,0.0064,1.831,101.251,34.1,894.085
2016-08-13 20:00:00,0.9632,0.8115,1.0165,0.0063,1.9038,101.143,36.88,971.96
2016-08-13 21:00:00,1.0032,0.8353,0.9941,0.0061,2.0479,101.035,39.66,963.687
2016-08-13 22:00:00,0.9927,0.8002,0.9777,0.006,2.5187,100.985,40.44,880.297
2016-08-13 23:00:00,0.936,0.7193,0.9613,0.0059,3.0269,100.933,41.23,735.927
2016-08-14 00:00:00,0.8267,0.5868,0.945,0.0058,3.5757,100.883,42.01,522.176
2016-08-14 01:00:00,0.674,0.4411,0.9269,0.0057,3.8836,100.844,38.97,340.488
2016-08-14 02:00:00,0.5302,0.3069,0.909,0.0056,4.1917,100.804,35.92,166.528
2016-08-14 03:00:00,0.2275,0.1615,0.891,0.0055,4.5002,100.764,32.87,0.0
2016-08-14 04:00:00,0.1864,0.1332,0.9045,0.0056,4.238,100.808,29.78,0.0
2016-08-14 05:00:00,0.1484,0.1066,0.9179,0.0057,3.9741,100.852,26.68,0.0
2016-08-14 06:00:00,0.1141,0.0821,0.9314,0.0058,3.7201,100.895,23.58,0.0
2016-08-14 07:00:00,0.0969,0.0692,0.9386,0.0058,3.4613,100.954,22.23,0.0
2016-08-14 08:00:00,0.0808,0.0572,0.9458,0.0058,3.214,101.012,20.87,0.0
2016-08-14 09:00:00,0.0665,0.0466,0.9531,0.0059,3.0057,101.071,19.52,0.0
2016-08-14 10:00:00,0.0542,0.037,0.9583,0.0059,2.7009,101.045,18.63,0.0
2016-08-14 11:00:00,0.0428,0.0284,0.9636,0.006,2.4216,101.02,17.75,0.0
2016-08-14 12:00:00,0.0319,0.0203,0.9688,0.006,2.1559,100.994,16.86,0.0
2016-08-14 13:00:00,0.031,0.0187,0.9762,0.006,1.8561,101.045,18.3,0.0
2016-08-14 14:00:00,0.0602,0.0401,0.9836,0.0061,1.5781,101.096,19.73,87.219
2016-08-14 15:00:00,0.25,0.1989,0.991,0.0061,1.322,101.146,21.16,286.64
2016-08-14 16:00:00,0.4248,0.3452,0.9912,0.0061,1.6458,101.134,24.84,466.2
2016-08-14 17:00:00,0.6015,0.4908,0.9914,0.0061,1.9615,101.121,28.53,621.091
2016-08-14 18:00:00,0.7794,0.635,0.9916,0.0061,2.2871,101.109,32.21,762.054
2016-08-14 19:00:00,0.9387,0.7621,0.9674,0.006,2.6255,101.028,34.79,889.339
2016-08-14 20:00:00,1.076,0.8659,0.9433,0.0058,2.9908,100.946,37.36,966.76
2016-08-14 21:00:00,1.1481,0.9061,0.9192,0.0057,3.3734,100.864,39.94,957.363
2016-08-14 22:00:00,1.1386,0.8726,0.9401,0.0058,3.8749,100.853,40.41,874.063
2016-08-14 23:00:00,1.0792,0.7924,0.9609,0.0059,4.3774,100.842,40.87,730.065
2016-08-15 00:00:00,0.967,0.6621,0.9817,0.0061,4.8889,100.831,41.34,519.216
2016-08-15 01:00:00,0.7716,0.4942,0.9439,0.0058,4.8947,100.811,38.25,337.36
2016-08-15 02:00:00,0.5929,0.3417,0.9061,0.0056,4.9288,100.791,35.16,163.124
2016-08-15 03:00:00,0.2348,0.1702,0.8682,0.0054,4.9712,100.771,32.07,0.0
2016-08-15 04:00:00,0.1872,0.1358,0.8826,0.0055,4.5167,100.844,28.97,0.0
2016-08-15 05:00:00,0.1445,0.1045,0.8971,0.0055,4.0608,100.917,25.88,0.0
2016-08-15 06:00:00,0.1067,0.0768,0.9115,0.0056,3.631,100.989,22.78,0.0
2016-08-15 07:00:00,0.0918,0.0661,0.9214,0.0057,3.5182,101.007,21.3,0.0
2016-08-15 08:00:00,0.0779,0.056,0.9312,0.0058,3.4209,101.025,19.81,0.0
2016-08-15 09:00:00,0.0647,0.0465,0.941,0.0058,3.3307,101.044,18.33,0.0
2016-08-15 10:00:00,0.0535,0.0381,0.9503,0.0059,3.189,101.064,17.15,0.0
2016-08-15 11:00:00,0.0432,0.0304,0.9597,0.0059,3.0675,101.086,15.97,0.0
2016-08-15 12:00:00,0.0334,0.0232,0.969,0.006,2.9574,101.106,14.79,0.0
2016-08-15 13:00:00,0.0386,0.0265,0.9811,0.0061,2.8045,101.123,16.08,0.0
2016-08-15 14:00:00,0.0667,0.0485,0.993,0.0061,2.6542,101.141,17.36,86.981
2016-08-15 15:00:00,0.2807,0.211,1.0051,0.0062,2.5307,101.158,18.64,288.621
2016-08-15 16:00:00,0.4478,0.3504,1.0129,0.0062,2.6907,101.208,22.03,470.936
2016-08-15 17:00:00,0.6171,0.4904,1.0206,0.0063,2.8663,101.258,25.42,628.222
2016-08-15 18:00:00,0.7854,0.6283,1.0284,0.0063,3.0458,101.308,28.81,769.8
2016-08-15 19:00:00,0.9234,0.7442,1.0034,0.0062,3.1304,101.23,31.11,898.53
2016-08-15 20:00:00,1.0367,0.8362,0.9785,0.006,3.2268,101.151,33.42,976.743
2016-08-15 21:00:00,1.0826,0.864,0.9536,0.0059,3.3432,101.071,35.72,967.573
2016-08-15 22:00:00,1.0452,0.8167,0.9286,0.0057,3.5526,101.004,36.33,882.926
2016-08-15 23:00:00,0.9594,0.7232,0.9037,0.0056,3.7707,100.937,36.95,736.798
2016-08-16 00:00:00,0.8201,0.5794,0.8788,0.0054,3.9803,100.869,37.57,525.584
2016-08-16 01:00:00,0.667,0.435,0.8644,0.0053,4.3574,100.902,34.54,340.248
2016-08-16 02:00:00,0.5228,0.3028,0.8501,0.0053,4.7348,100.935,31.51,162.56
2016-08-16 03:00:00,0.1993,0.1481,0.8358,0.0052,5.111,100.968,28.47,0.0
2016-08-16 04:00:00,0.1567,0.1165,0.8649,0.0053,4.6952,101.04,25.49,0.0
2016-08-16 05:00:00,0.118,0.0876,0.8942,0.0055,4.2696,101.113,22.52,0.0
2016-08-16 06:00:00,0.0835,0.0615,0.9236,0.0057,3.8552,101.186,19.54,0.0
2016-08-16 07:00:00,0.0679,0.0494,0.9376,0.0058,3.5544,101.179,18.26,0.0
2016-08-16 08:00:00,0.0533,0.0382,0.9515,0.0059,3.2626,101.172,16.98,0.0
2016-08-16 09:00:00,0.0398,0.0278,0.9655,0.006,2.9808,101.164,15.7,0.0
2016-08-16 10:00:00,0.0315,0.0214,0.9736,0.006,2.7518,101.132,14.97,0.0
2016-08-16 11:00:00,0.0235,0.0153,0.9816,0.0061,2.5229,101.099,14.24,0.0
2016-08-16 12:00:00,0.0158,0.0094,0.9896,0.0061,2.2849,101.066,13.52,0.0
2016-08-16 13:00:00,0.0147,0.008,0.999,0.0062,1.8853,101.087,14.78,0.0
2016-08-16 14:00:00,0.0389,0.0261,1.0084,0.0062,1.4968,101.107,16.04,84.714
2016-08-16 15:00:00,0.2063,0.1712,1.0178,0.0063,1.1309,101.128,17.31,286.275
2016-08-16 16:00:00,0.3776,0.3138,1.0288,0.0064,1.5799,101.159,21.11,468.643
2016-08-16 17:00:00,0.5601,0.4611,1.0399,0.0064,2.0815,101.191,24.9,625.939
2016-08-16 18:00:00,0.7493,0.6101,1.0509,0.0065,2.5916,101.223,28.7,767.078
2016-08-16 19:00:00,0.8902,0.7287,1.0168,0.0063,2.6612,101.123,31.4,895.539
2016-08-16 20:00:00,1.0034,0.8219,0.9828,0.0061,2.7212,101.023,34.11,973.409
2016-08-16 21:00:00,1.0442,0.8469,0.9489,0.0059,2.7911,100.924,36.81,962.577
2016-08-16 22:00:00,1.005,0.798,0.9136,0.0057,2.9781,100.872,37.6,877.908
2016-08-16 23:00:00,0.9147,0.7007,0.8785,0.0054,3.1694,100.821,38.38,731.904
2016-08-17 00:00:00,0.7692,0.5509,0.8432,0.0052,3.3659,100.77,39.17,519.472
2016-08-17 01:00:00,0.6086,0.4008,0.8003,0.005,3.5971,100.772,36.07,335.024
2016-08-17 02:00:00,0.4611,0.2647,0.7572,0.0047,3.8389,100.773,32.97,158.06
2016-08-17 03:00:00,0.192,0.1361,0.7142,0.0044,4.0697,100.775,29.88,0.0
2016-08-17 04:00:00,0.1597,0.1142,0.7428,0.0046,3.9111,100.826,27.01,0.0
2016-08-17 05:00:00,0.1297,0.0934,0.7714,0.0048,3.7647,100.876,24.14,0.0
2016-08-17 06:00:00,0.1015,0.0735,0.8,0.0049,3.6111,100.927,21.28,0.0
2016-08-17 07:00:00,0.0873,0.0631,0.8203,0.0051,3.4658,100.924,19.97,0.0
2016-08-17 08:00:00,0.074,0.0532,0.8406,0.0052,3.33,100.921,18.66,0.0
