date,ETr,ETo,ea,sph,wind,pair,temp,rs,ETo_hr_props
2016-08-13 05:00:00,0.0128,0.006,1.0822,0.0067,1.5803,101.275,16.93,0.0,0.0
2016-08-13 06:00:00,0.0443,0.0292,1.0875,0.0067,1.3612,101.285,18.23,88.962,0.0036
2016-08-13 07:00:00,0.224,0.1846,1.0928,0.0067,1.1423,101.294,19.53,289.34,0.0276
2016-08-13 08:00:00,0.3909,0.3268,1.0823,0.0067,1.3728,101.316,23.46,469.08,0.0496
2016-08-13 09:00:00,0.5609,0.4694,1.0718,0.0066,1.6145,101.338,27.39,624.136,0.0717
2016-08-13 10:00:00,0.7323,0.6113,1.0614,0.0065,1.8619,101.36,31.32,766.297,0.0936
2016-08-13 11:00:00,0.8577,0.7227,1.0389,0.0064,1.831,101.251,34.1,894.085,0.1108
2016-08-13 12:00:00,0.9632,0.8115,1.0165,0.0063,1.9038,101.143,36.88,971.96,0.1246
2016-08-13 13:00:00,1.0032,0.8353,0.9941,0.0061,2.0479,101.035,39.66,963.687,0.1283
2016-08-13 14:00:00,0.9927,0.8002,0.9777,0.006,2.5187,100.985,40.44,880.297,0.1228
2016-08-13 15:00:00,0.936,0.7193,0.9613,0.0059,3.0269,100.933,41.23,735.927,0.1103
2016-08-13 16:00:00,0.8267,0.5868,0.945,0.0058,3.5757,100.883,42.01,522.176,0.0898
2016-08-13 17:00:00,0.674,0.4411,0.9269,0.0057,3.8836,100.844,38.97,340.488,0.0673
2016-08-14 05:00:00,0.031,0.0187,0.9762,0.006,1.8561,101.045,18.3,0.0,0.0
2016-08-14 06:00:00,0.0602,0.0401,0.9836,0.0061,1.5781,101.096,19.73,87.219,0.0031
2016-08-14 07:00:00,0.25,0.1989,0.991,0.0061,1.322,101.146,21.16,286.64,0.0263
2016-08-14 08:00:00,0.4248,0.3452,0.9912,0.0061,1.6458,101.134,24.84,466.2,0.0477
2016-08-14 09:00:00,0.6015,0.4908,0.9914,0.0061,1.9615,101.121,28.53,621.091,0.069
2016-08-14 10:00:00,0.7794,0.635,0.9916,0.0061,2.2871,101.109,32.21,762.054,0.0901
2016-08-14 11:00:00,0.9387,0.7621,0.9674,0.006,2.6255,101.028,34.79,889.339,0.1087
2016-08-14 12:00:00,1.076,0.8659,0.9433,0.0058,2.9908,100.946,37.36,966.76,0.1238
2016-08-14 13:00:00,1.1481,0.9061,0.9192,0.0057,3.3734,100.864,39.94,957.363,0.1297
2016-08-14 14:00:00,1.1386,0.8726,0.9401,0.0058,3.8749,100.853,40.41,874.063,0.1248
2016-08-14 15:00:00,1.0792,0.7924,0.9609,0.0059,4.3774,100.842,40.87,730.065,0.1131
2016-08-14 16:00:00,0.967,0.6621,0.9817,0.0061,4.8889,100.831,41.34,519.216,0.094
2016-08-14 17:00:00,0.7716,0.4942,0.9439,0.0058,4.8947,100.811,38.25,337.36,0.0695
2016-08-15 05:00:00,0.0386,0.0265,0.9811,0.0061,2.8045,101.123,16.08,0.0,0.0
2016-08-15 06:00:00,0.0667,0.0485,0.993,0.0061,2.6542,101.141,17.36,86.981,0.0034
2016-08-15 07:00:00,0.2807,0.211,1.0051,0.0062,2.5307,101.158,18.64,288.621,0.0288
2016-08-15 08:00:00,0.4478,0.3504,1.0129,0.0062,2.6907,101.208,22.03,470.936,0.0505
2016-08-15 09:00:00,0.6171,0.4904,1.0206,0.0063,2.8663,101.258,25.42,628.222,0.0724
2016-08-15 10:00:00,0.7854,0.6283,1.0284,0.0063,3.0458,101.308,28.81,769.8,0.0939
2016-08-15 11:00:00,0.9234,0.7442,1.0034,0.0062,3.1304,101.23,31.11,898.53,0.112
2016-08-15 12:00:00,1.0367,0.8362,0.9785,0.006,3.2268,101.151,33.42,976.743,0.1263
2016-08-15 13:00:00,1.0826,0.864,0.9536,0.0059,3.3432,101.071,35.72,967.573,0.1307
2016-08-15 14:00:00,1.0452,0.8167,0.9286,0.0057,3.5526,101.004,36.33,882.926,0.1233
2016-08-15 15:00:00,0.9594,0.7232,0.9037,0.0056,3.7707,100.937,36.95,736.798,0.1087
2016-08-15 16:00:00,0.8201,0.5794,0.8788,0.0054,3.9803,100.869,37.57,525.584,0.0863
2016-08-15 17:00:00,0.667,0.435,0.8644,0.0053,4.3574,100.902,34.54,340.248,0.0637
2016-08-16 05:00:00,0.0147,0.008,0.999,0.0062,1.8853,101.087,14.78,0.0,0.0
2016-08-16 06:00:00,0.0389,0.0261,1.0084,0.0062,1.4968,101.107,16.04,84.714,0.0029
